round_num,cash,pot_value,call,ev,win_prob,does_play,bet
1,95,11,0,2,0.174,True,2
1,93,13,0,2,0.174,True,2
1,90,15,0,3,0.174,True,3
2,107,10,1,1,0.174,True,1
2,107,18,7,-3,0.174,False,1
2,107,29,11,-4,0.174,False,1
2,107,47,18,-7,0.174,False,1
3,153,9,1,1,0.174,True,1
3,153,13,2,1,0.174,False,1
3,153,15,2,1,0.174,False,1
3,153,18,3,1,0.174,False,1
4,152,8,0,1,0.174,True,1
4,152,13,2,1,0.174,False,1
4,152,15,2,1,0.174,False,1
4,152,18,3,1,0.174,False,1
5,147,16,2,1,0.174,False,1
5,147,29,4,2,0.174,False,1
5,147,53,8,3,0.174,False,1
6,142,13,0,2,0.174,True,2
6,138,23,0,4,0.174,True,4
6,131,38,0,7,0.174,True,7
7,130,9,1,1,0.174,True,1
7,130,12,2,0,0.174,False,1
7,130,14,2,1,0.174,False,1
7,130,16,2,1,0.174,False,1
8,125,8,0,5,0.612,True,5
8,117,15,2,8,0.612,True,8
8,102,27,4,15,0.612,True,15
8,75,49,7,27,0.612,True,27
9,74,8,0,1,0.174,True,1
9,74,12,2,0,0.174,False,1
9,74,14,2,1,0.174,False,1
9,74,16,2,1,0.174,False,1
10,69,12,2,0,0.174,False,1
10,69,14,2,1,0.174,False,1
10,69,16,2,1,0.174,False,1
11,58,13,0,8,0.612,True,8
11,39,31,0,19,0.612,True,19
11,0,73,0,45,0.612,True,39
